,askPrice1_c,bidPrice1_c,askVolume1_c,bidVolume1_c,lastPrice_c,volume_c,openInterest_c,spread_c,vtSymbol_c,fSymbol_c,vtType_c,strikePrice_c,oSymbol,term_c,benchMark_c,defa_v_c,longPos_c,shortPos_c,netPos_c,longAP_c,shortAP_c,askPrice1_p,bidPrice1_p,askVolume1_p,bidVolume1_p,lastPrice_p,volume_p,openInterest_p,spread_p,vtSymbol_p,fSymbol_p,vtType_p,strikePrice_p,term_p,benchMark_p,defa_v_p,longPos_p,shortPos_p,netPos_p,longAP_p,shortAP_p,askPrice1,bidPrice1,askVolume1,bidVolume1,lastPrice,volume,openInterest,spread,vtSymbol,fSymbol,vtType,strikePrice,oSymbol_f,term,benchMark,defa_v,longPos,shortPos,netPos,longAP,shortAP,ts,close_ca,close_re,open_ca,open_re,target_ca,target_re,fixTarget_ca,fixTarget_re,fore_ca,fore_re,ov_ca,ov_re,cv_ca,cv_re
m1703-C-2700,,,,,,,,3.0,m1703-C-2700,m1703,C,2700,m1703-2700,0.11,2694.07,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2700,m1703,P,2700,0.11,2694.07,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2691.3700000000003,-2702.7,,,3.0,3.0,0.0,0.0
m1703-C-2750,,,,,,,,3.0,m1703-C-2750,m1703,C,2750,m1703-2750,0.11,2743.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2750,m1703,P,2750,0.11,2743.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2741.26,-2752.7,,,3.0,3.0,0.0,0.0
m1703-C-2800,,,,,,,,3.0,m1703-C-2800,m1703,C,2800,m1703-2800,0.11,2793.85,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2800,m1703,P,2800,0.11,2793.85,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2791.15,-2802.7,,,3.0,3.0,0.0,0.0
m1703-C-2850,,,,,,,,3.0,m1703-C-2850,m1703,C,2850,m1703-2850,0.11,2843.74,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2850,m1703,P,2850,0.11,2843.74,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2841.04,-2852.7,,,3.0,3.0,0.0,0.0
m1703-C-2900,,,,,,,,3.0,m1703-C-2900,m1703,C,2900,m1703-2900,0.11,2893.63,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2900,m1703,P,2900,0.11,2893.63,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2890.9300000000003,-2902.7,,,3.0,3.0,0.0,0.0
m1703-C-2950,,,,,,,,3.0,m1703-C-2950,m1703,C,2950,m1703-2950,0.11,2943.52,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-2950,m1703,P,2950,0.11,2943.52,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2940.82,-2952.7,,,3.0,3.0,0.0,0.0
m1703-C-3000,,,,,,,,3.0,m1703-C-3000,m1703,C,3000,m1703-3000,0.11,2993.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3000,m1703,P,3000,0.11,2993.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,2990.71,-3002.7,,,3.0,3.0,0.0,0.0
m1703-C-3050,,,,,,,,3.0,m1703-C-3050,m1703,C,3050,m1703-3050,0.11,3043.3,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3050,m1703,P,3050,0.11,3043.3,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3040.6000000000004,-3052.7,,,3.0,3.0,0.0,0.0
m1703-C-3100,,,,,,,,3.0,m1703-C-3100,m1703,C,3100,m1703-3100,0.11,3093.19,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3100,m1703,P,3100,0.11,3093.19,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3090.4900000000002,-3102.7,,,3.0,3.0,0.0,0.0
m1703-C-3150,,,,,,,,3.0,m1703-C-3150,m1703,C,3150,m1703-3150,0.11,3143.08,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3150,m1703,P,3150,0.11,3143.08,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3140.38,-3152.7,,,3.0,3.0,0.0,0.0
m1703-C-3200,,,,,,,,3.0,m1703-C-3200,m1703,C,3200,m1703-3200,0.11,3192.97,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3200,m1703,P,3200,0.11,3192.97,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3190.27,-3202.7,,,3.0,3.0,0.0,0.0
m1703-C-3250,,,,,,,,3.0,m1703-C-3250,m1703,C,3250,m1703-3250,0.11,3242.86,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3250,m1703,P,3250,0.11,3242.86,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3240.1600000000003,-3252.7,,,3.0,3.0,0.0,0.0
m1703-C-3300,,,,,,,,3.0,m1703-C-3300,m1703,C,3300,m1703-3300,0.11,3292.75,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3300,m1703,P,3300,0.11,3292.75,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3290.05,-3302.7,,,3.0,3.0,0.0,0.0
m1703-C-3350,,,,,,,,3.0,m1703-C-3350,m1703,C,3350,m1703-3350,0.11,3342.64,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3350,m1703,P,3350,0.11,3342.64,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3339.94,-3352.7,,,3.0,3.0,0.0,0.0
m1703-C-3400,,,,,,,,3.0,m1703-C-3400,m1703,C,3400,m1703-3400,0.11,3392.53,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3400,m1703,P,3400,0.11,3392.53,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3389.8300000000004,-3402.7,,,3.0,3.0,0.0,0.0
m1703-C-3450,,,,,,,,3.0,m1703-C-3450,m1703,C,3450,m1703-3450,0.11,3442.42,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3450,m1703,P,3450,0.11,3442.42,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3439.7200000000003,-3452.7,,,3.0,3.0,0.0,0.0
m1703-C-3500,,,,,,,,3.0,m1703-C-3500,m1703,C,3500,m1703-3500,0.11,3492.31,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3500,m1703,P,3500,0.11,3492.31,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3489.61,-3502.7,,,3.0,3.0,0.0,0.0
m1703-C-3550,,,,,,,,3.0,m1703-C-3550,m1703,C,3550,m1703-3550,0.11,3542.2,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703-P-3550,m1703,P,3550,0.11,3542.2,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1703,m1703,F,,,0.11,,3,0,0,0,0,0,9.0,,,,,,,3539.5,-3552.7,,,3.0,3.0,0.0,0.0
m1705-C-2450,,,,,,,,3.0,m1705-C-2450,m1705,C,2450,m1705-2450,0.27,2436.81,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2450,m1705,P,2450,0.27,2436.81,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2434.11,-2452.7,,,3.0,3.0,0.0,0.0
m1705-C-2500,,,,,,,,3.0,m1705-C-2500,m1705,C,2500,m1705-2500,0.27,2486.54,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2500,m1705,P,2500,0.27,2486.54,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2483.84,-2502.7,,,3.0,3.0,0.0,0.0
m1705-C-2550,,,,,,,,3.0,m1705-C-2550,m1705,C,2550,m1705-2550,0.27,2536.27,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2550,m1705,P,2550,0.27,2536.27,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2533.57,-2552.7,,,3.0,3.0,0.0,0.0
m1705-C-2600,,,,,,,,3.0,m1705-C-2600,m1705,C,2600,m1705-2600,0.27,2586.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2600,m1705,P,2600,0.27,2586.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2583.3,-2602.7,,,3.0,3.0,0.0,0.0
m1705-C-2650,,,,,,,,3.0,m1705-C-2650,m1705,C,2650,m1705-2650,0.27,2635.73,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2650,m1705,P,2650,0.27,2635.73,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2633.03,-2652.7,,,3.0,3.0,0.0,0.0
m1705-C-2700,,,,,,,,3.0,m1705-C-2700,m1705,C,2700,m1705-2700,0.27,2685.46,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2700,m1705,P,2700,0.27,2685.46,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2682.76,-2702.7,,,3.0,3.0,0.0,0.0
m1705-C-2750,,,,,,,,3.0,m1705-C-2750,m1705,C,2750,m1705-2750,0.27,2735.19,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2750,m1705,P,2750,0.27,2735.19,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2732.4900000000002,-2752.7,,,3.0,3.0,0.0,0.0
m1705-C-2800,,,,,,,,3.0,m1705-C-2800,m1705,C,2800,m1705-2800,0.27,2784.92,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2800,m1705,P,2800,0.27,2784.92,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2782.2200000000003,-2802.7,,,3.0,3.0,0.0,0.0
m1705-C-2850,,,,,,,,3.0,m1705-C-2850,m1705,C,2850,m1705-2850,0.27,2834.65,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2850,m1705,P,2850,0.27,2834.65,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2831.9500000000003,-2852.7,,,3.0,3.0,0.0,0.0
m1705-C-2900,,,,,,,,3.0,m1705-C-2900,m1705,C,2900,m1705-2900,0.27,2884.38,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2900,m1705,P,2900,0.27,2884.38,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2881.6800000000003,-2902.7,,,3.0,3.0,0.0,0.0
m1705-C-2950,,,,,,,,3.0,m1705-C-2950,m1705,C,2950,m1705-2950,0.27,2934.11,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-2950,m1705,P,2950,0.27,2934.11,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2931.4100000000003,-2952.7,,,3.0,3.0,0.0,0.0
m1705-C-3000,,,,,,,,3.0,m1705-C-3000,m1705,C,3000,m1705-3000,0.27,2983.84,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3000,m1705,P,3000,0.27,2983.84,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,2981.1400000000003,-3002.7,,,3.0,3.0,0.0,0.0
m1705-C-3050,,,,,,,,3.0,m1705-C-3050,m1705,C,3050,m1705-3050,0.27,3033.57,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3050,m1705,P,3050,0.27,3033.57,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3030.8700000000003,-3052.7,,,3.0,3.0,0.0,0.0
m1705-C-3100,,,,,,,,3.0,m1705-C-3100,m1705,C,3100,m1705-3100,0.27,3083.31,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3100,m1705,P,3100,0.27,3083.31,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3080.61,-3102.7,,,3.0,3.0,0.0,0.0
m1705-C-3150,,,,,,,,3.0,m1705-C-3150,m1705,C,3150,m1705-3150,0.27,3133.04,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3150,m1705,P,3150,0.27,3133.04,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3130.34,-3152.7,,,3.0,3.0,0.0,0.0
m1705-C-3200,,,,,,,,3.0,m1705-C-3200,m1705,C,3200,m1705-3200,0.27,3182.77,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3200,m1705,P,3200,0.27,3182.77,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3180.07,-3202.7,,,3.0,3.0,0.0,0.0
m1705-C-3250,,,,,,,,3.0,m1705-C-3250,m1705,C,3250,m1705-3250,0.27,3232.5,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3250,m1705,P,3250,0.27,3232.5,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3229.8,-3252.7,,,3.0,3.0,0.0,0.0
m1705-C-3300,,,,,,,,3.0,m1705-C-3300,m1705,C,3300,m1705-3300,0.27,3282.23,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3300,m1705,P,3300,0.27,3282.23,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3279.53,-3302.7,,,3.0,3.0,0.0,0.0
m1705-C-3350,,,,,,,,3.0,m1705-C-3350,m1705,C,3350,m1705-3350,0.27,3331.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3350,m1705,P,3350,0.27,3331.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3329.26,-3352.7,,,3.0,3.0,0.0,0.0
m1705-C-3400,,,,,,,,3.0,m1705-C-3400,m1705,C,3400,m1705-3400,0.27,3381.69,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3400,m1705,P,3400,0.27,3381.69,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3378.9900000000002,-3402.7,,,3.0,3.0,0.0,0.0
m1705-C-3450,,,,,,,,3.0,m1705-C-3450,m1705,C,3450,m1705-3450,0.27,3431.42,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705-P-3450,m1705,P,3450,0.27,3431.42,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1705,m1705,F,,,0.27,,3,0,0,0,0,0,9.0,,,,,,,3428.7200000000003,-3452.7,,,3.0,3.0,0.0,0.0
m1707-C-2450,,,,,,,,3.0,m1707-C-2450,m1707,C,2450,m1707-2450,0.44,2428.53,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2450,m1707,P,2450,0.44,2428.53,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2425.8300000000004,-2452.7,,,3.0,3.0,0.0,0.0
m1707-C-2500,,,,,,,,3.0,m1707-C-2500,m1707,C,2500,m1707-2500,0.44,2478.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2500,m1707,P,2500,0.44,2478.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2475.4,-2502.7,,,3.0,3.0,0.0,0.0
m1707-C-2550,,,,,,,,3.0,m1707-C-2550,m1707,C,2550,m1707-2550,0.44,2527.66,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2550,m1707,P,2550,0.44,2527.66,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2524.96,-2552.7,,,3.0,3.0,0.0,0.0
m1707-C-2600,,,,,,,,3.0,m1707-C-2600,m1707,C,2600,m1707-2600,0.44,2577.22,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2600,m1707,P,2600,0.44,2577.22,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2574.52,-2602.7,,,3.0,3.0,0.0,0.0
m1707-C-2650,,,,,,,,3.0,m1707-C-2650,m1707,C,2650,m1707-2650,0.44,2626.78,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2650,m1707,P,2650,0.44,2626.78,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2624.0800000000004,-2652.7,,,3.0,3.0,0.0,0.0
m1707-C-2700,,,,,,,,3.0,m1707-C-2700,m1707,C,2700,m1707-2700,0.44,2676.34,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2700,m1707,P,2700,0.44,2676.34,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2673.6400000000003,-2702.7,,,3.0,3.0,0.0,0.0
m1707-C-2750,,,,,,,,3.0,m1707-C-2750,m1707,C,2750,m1707-2750,0.44,2725.91,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2750,m1707,P,2750,0.44,2725.91,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2723.21,-2752.7,,,3.0,3.0,0.0,0.0
m1707-C-2800,,,,,,,,3.0,m1707-C-2800,m1707,C,2800,m1707-2800,0.44,2775.47,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2800,m1707,P,2800,0.44,2775.47,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2772.77,-2802.7,,,3.0,3.0,0.0,0.0
m1707-C-2850,,,,,,,,3.0,m1707-C-2850,m1707,C,2850,m1707-2850,0.44,2825.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2850,m1707,P,2850,0.44,2825.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2822.3300000000004,-2852.7,,,3.0,3.0,0.0,0.0
m1707-C-2900,,,,,,,,3.0,m1707-C-2900,m1707,C,2900,m1707-2900,0.44,2874.59,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2900,m1707,P,2900,0.44,2874.59,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2871.8900000000003,-2902.7,,,3.0,3.0,0.0,0.0
m1707-C-2950,,,,,,,,3.0,m1707-C-2950,m1707,C,2950,m1707-2950,0.44,2924.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2950,m1707,P,2950,0.44,2924.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2921.4500000000003,-2952.7,,,3.0,3.0,0.0,0.0
