,askPrice1_C,bidPrice1_C,askVolume1_C,bidVolume1_C,spread_C,lastPrice_C,volume_C,openInterest_C,futureSymbol_C,vtType_C,strikePrice_C,vtSymbol_C,oSymbol,term_C,benchMark_C,askPrice1_P,bidPrice1_P,askVolume1_P,bidVolume1_P,spread_P,lastPrice_P,volume_P,openInterest_P,futureSymbol_P,vtType_P,strikePrice_P,vtSymbol_P,term_P,benchMark_P,askPrice1,bidPrice1,askVolume1,bidVolume1,spread,lastPrice,volume,openInterest,futureSymbol,vtType,strikePrice,vtSymbol,oSymbol_F,term,benchMark,carraySpace,reverseSpace
m1703-C-2800,510.0,509.5,64,24,0.5,509.5,888,11884.0,m1703,C,2800,m1703-C-2800,m1703-2800,0.12,2793.29,249.0,248.5,67,15,0.5,248.5,1040,16456.0,m1703,P,2800,m1703-P-2800,0.12,2793.29,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-84.71000000000004,4.0
m1703-C-2850,499.5,498.5,12,36,1.0,499.0,764,17700.0,m1703,C,2850,m1703-C-2850,m1703-2850,0.12,2843.17,287.0,286.0,10,14,1.0,286.0,224,15856.0,m1703,P,2850,m1703-P-2850,0.12,2843.17,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-85.32999999999993,0.5
m1703-C-2900,477.0,476.0,2,16,1.0,476.0,632,18468.0,m1703,C,2900,m1703-C-2900,m1703-2900,0.12,2893.05,314.0,312.5,10,15,1.5,320.0,2,15378.0,m1703,P,2900,m1703-P-2900,0.12,2893.05,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-84.94999999999982,-0.5
m1703-C-2950,452.5,452.0,14,10,0.5,452.0,1454,15136.0,m1703,C,2950,m1703-C-2950,m1703-2950,0.12,2942.93,343.0,342.5,20,21,0.5,345.0,210,17650.0,m1703,P,2950,m1703-P-2950,0.12,2942.93,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-86.57000000000016,5.5
m1703-C-3000,474.5,473.0,10,29,1.5,473.0,646,14014.0,m1703,C,3000,m1703-C-3000,m1703-3000,0.12,2992.81,379.0,377.5,10,12,1.5,379.0,96,15158.0,m1703,P,3000,m1703-P-3000,0.12,2992.81,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-54.690000000000055,-34.5
m1703-C-3050,416.0,411.5,14,20,4.5,411.5,656,14522.0,m1703,C,3050,m1703-C-3050,m1703-3050,0.12,3042.69,423.0,422.0,10,18,1.0,423.5,148,13336.0,m1703,P,3050,m1703-P-3050,0.12,3042.69,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-119.30999999999995,9.5
m1703-C-3100,402.0,400.0,20,15,2.0,400.0,742,14572.0,m1703,C,3100,m1703-C-3100,m1703-3100,0.12,3092.57,452.0,451.5,28,2,0.5,452.0,156,14022.0,m1703,P,3100,m1703-P-3100,0.12,3092.57,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-102.42999999999984,10.5
m1703-C-3150,403.0,400.5,10,20,2.5,401.5,990,13640.0,m1703,C,3150,m1703-C-3150,m1703-3150,0.12,3142.45,456.5,455.0,10,117,1.5,455.0,378,7910.0,m1703,P,3150,m1703-P-3150,0.12,3142.45,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-58.05000000000018,-38.5
m1703-C-3200,392.0,390.5,10,32,1.5,391.0,800,17204.0,m1703,C,3200,m1703-C-3200,m1703-3200,0.12,3192.33,477.5,476.0,10,25,1.5,476.5,340,8570.0,m1703,P,3200,m1703-P-3200,0.12,3192.33,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-36.17000000000007,-53.5
m1703-C-3250,340.5,338.0,10,24,2.5,339.0,1526,13240.0,m1703,C,3250,m1703-C-3250,m1703-3250,0.12,3242.21,500.5,500.0,12,71,0.5,500.0,6,15860.0,m1703,P,3250,m1703-P-3250,0.12,3242.21,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-64.78999999999996,-31.0
m1703-C-3300,332.5,331.5,19,12,1.0,333.5,1718,16792.0,m1703,C,3300,m1703-C-3300,m1703-3300,0.12,3292.09,538.5,537.0,10,21,1.5,537.5,10,7406.0,m1703,P,3300,m1703-P-3300,0.12,3292.09,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-54.909999999999854,-31.5
m1703-C-3350,304.0,301.0,45,10,3.0,301.5,1514,17476.0,m1703,C,3350,m1703-C-3350,m1703-3350,0.12,3341.97,568.5,567.0,10,21,1.5,581.0,12,10124.0,m1703,P,3350,m1703-P-3350,0.12,3341.97,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-71.5300000000002,-29.0
m1703-C-3400,275.0,274.0,10,10,1.0,270.0,4892,16954.0,m1703,C,3400,m1703-C-3400,m1703-3400,0.12,3391.85,604.5,604.0,20,20,0.5,606.0,1936,14156.0,m1703,P,3400,m1703-P-3400,0.12,3391.85,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-78.65000000000009,-7.0
m1703-C-3450,247.5,244.0,8,55,3.5,248.0,1588,14364.0,m1703,C,3450,m1703-C-3450,m1703-3450,0.12,3441.73,607.0,605.5,10,31,1.5,610.0,1590,8120.0,m1703,P,3450,m1703-P-3450,0.12,3441.73,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-68.76999999999998,-35.5
m1703-C-3500,228.0,224.0,20,30,4.0,227.5,1124,16020.0,m1703,C,3500,m1703-C-3500,m1703-3500,0.12,3491.61,633.5,633.0,10,15,0.5,635.5,1476,9840.0,m1703,P,3500,m1703-P-3500,0.12,3491.61,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-66.88999999999987,-40.0
m1703-C-3550,210.5,209.0,15,63,1.5,210.0,2388,20188.0,m1703,C,3550,m1703-C-3550,m1703-3550,0.12,3541.49,685.0,682.5,10,20,2.5,684.0,2160,9374.0,m1703,P,3550,m1703-P-3550,0.12,3541.49,3130.0,3074.0,720,217,56.0,3130.0,574,100342.0,m1703,F,,m1703,,0.12,,-76.01000000000022,-15.5
m1705-C-2450,775.0,774.0,578,190,1.0,774.0,68954,243228.0,m1705,C,2450,m1705-C-2450,m1705-2450,0.28,2436.32,251.0,250.5,149,36,0.5,251.0,1220,58338.0,m1705,P,2450,m1705-P-2450,0.28,2436.32,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,95.32000000000016,-131.5
m1705-C-2500,740.0,738.5,44,10,1.5,738.5,3530,57904.0,m1705,C,2500,m1705-C-2500,m1705-2500,0.28,2486.04,274.0,271.5,25,6,2.5,271.5,1212,38386.0,m1705,P,2500,m1705-P-2500,0.28,2486.04,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,85.03999999999996,-127.0
m1705-C-2550,708.5,706.0,19,3,2.5,708.5,2382,41926.0,m1705,C,2550,m1705-C-2550,m1705-2550,0.28,2535.76,302.0,300.0,24,1,2.0,300.0,762,28654.0,m1705,P,2550,m1705-P-2550,0.28,2535.76,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,71.26000000000022,-120.0
m1705-C-2600,686.0,684.0,4,14,2.0,684.0,1724,29866.0,m1705,C,2600,m1705-C-2600,m1705-2600,0.28,2585.48,326.5,326.0,29,10,0.5,326.0,512,65830.0,m1705,P,2600,m1705-P-2600,0.28,2585.48,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,75.98000000000002,-120.0
m1705-C-2650,668.5,666.5,1,15,2.0,667.0,880,47510.0,m1705,C,2650,m1705-C-2650,m1705-2650,0.28,2635.2,338.0,337.5,11,5,0.5,340.5,942,37334.0,m1705,P,2650,m1705-P-2650,0.28,2635.2,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,96.69999999999982,-141.0
m1705-C-2700,635.5,634.0,1,7,1.5,635.5,1190,38220.0,m1705,C,2700,m1705-C-2700,m1705-2700,0.28,2684.92,375.5,373.5,10,1,2.0,371.0,504,35632.0,m1705,P,2700,m1705-P-2700,0.28,2684.92,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,77.92000000000007,-120.5
m1705-C-2750,613.5,611.5,24,10,2.0,613.5,764,33780.0,m1705,C,2750,m1705-C-2750,m1705-2750,0.28,2734.64,402.5,400.0,16,2,2.5,400.5,372,28834.0,m1705,P,2750,m1705-P-2750,0.28,2734.64,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,76.63999999999987,-123.5
m1705-C-2800,599.0,597.0,2,14,2.0,597.0,1168,47398.0,m1705,C,2800,m1705-C-2800,m1705-2800,0.28,2784.36,428.0,426.0,15,50,2.0,433.0,292,40122.0,m1705,P,2800,m1705-P-2800,0.28,2784.36,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,86.36000000000013,-133.0
m1705-C-2850,575.0,571.0,45,25,4.0,578.5,520,36030.0,m1705,C,2850,m1705-C-2850,m1705-2850,0.28,2834.08,458.0,456.5,10,35,1.5,454.0,672,30382.0,m1705,P,2850,m1705-P-2850,0.28,2834.08,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,74.07999999999993,-134.5
m1705-C-2900,563.0,561.0,10,15,2.0,563.5,1596,42314.0,m1705,C,2900,m1705-C-2900,m1705-2900,0.28,2883.81,486.5,484.5,15,21,2.0,484.0,710,35642.0,m1705,P,2900,m1705-P-2900,0.28,2883.81,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,91.30999999999995,-138.5
m1705-C-2950,527.0,526.0,11,20,1.0,527.0,1064,37872.0,m1705,C,2950,m1705-C-2950,m1705-2950,0.28,2933.53,504.0,502.5,11,15,1.5,503.5,372,30574.0,m1705,P,2950,m1705-P-2950,0.28,2933.53,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,91.5300000000002,-131.5
m1705-C-3000,500.0,498.5,13,10,1.5,498.5,7464,50082.0,m1705,C,3000,m1705-C-3000,m1705-3000,0.28,2983.25,541.0,539.0,16,18,2.0,541.0,1410,31210.0,m1705,P,3000,m1705-P-3000,0.28,2983.25,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,75.25,-119.5
m1705-C-3050,492.0,489.5,30,11,2.5,489.5,882,26704.0,m1705,C,3050,m1705-C-3050,m1705-3050,0.28,3032.97,575.5,571.0,10,45,4.5,570.5,722,17822.0,m1705,P,3050,m1705-P-3050,0.28,3032.97,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,78.4699999999998,-132.5
m1705-C-3100,462.0,461.0,50,4,1.0,458.5,818,32996.0,m1705,C,3100,m1705-C-3100,m1705-3100,0.28,3082.69,593.5,591.5,15,10,2.0,592.5,760,21890.0,m1705,P,3100,m1705-P-3100,0.28,3082.69,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,86.19000000000005,-127.5
m1705-C-3150,444.5,442.5,1,25,2.0,444.0,814,24434.0,m1705,C,3150,m1705-C-3150,m1705-3150,0.28,3132.41,625.0,622.5,15,10,2.5,630.0,236,14046.0,m1705,P,3150,m1705-P-3150,0.28,3132.41,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,82.90999999999985,-132.0
m1705-C-3200,421.0,419.5,27,12,1.5,421.0,646,31882.0,m1705,C,3200,m1705-C-3200,m1705-3200,0.28,3182.13,662.0,660.0,15,16,2.0,660.5,246,16546.0,m1705,P,3200,m1705-P-3200,0.28,3182.13,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,74.13000000000011,-119.5
m1705-C-3250,411.5,409.5,10,25,2.0,410.5,598,27862.0,m1705,C,3250,m1705-C-3250,m1705-3250,0.28,3231.85,680.5,676.5,10,20,4.0,679.5,1320,16856.0,m1705,P,3250,m1705-P-3250,0.28,3231.85,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,93.84999999999991,-145.0
m1705-C-3300,378.0,377.5,25,24,0.5,378.0,796,28882.0,m1705,C,3300,m1705-C-3300,m1705-3300,0.28,3281.57,713.5,710.0,4,40,3.5,712.5,1916,16288.0,m1705,P,3300,m1705-P-3300,0.28,3281.57,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,83.07000000000016,-123.5
m1705-C-3350,366.0,364.0,15,15,2.0,363.5,2116,38564.0,m1705,C,3350,m1705-C-3350,m1705-3350,0.28,3331.29,744.0,742.0,13,10,2.0,744.0,1320,17332.0,m1705,P,3350,m1705-P-3350,0.28,3331.29,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,84.28999999999996,-134.0
m1705-C-3400,341.0,339.5,35,1,1.5,339.5,1562,35486.0,m1705,C,3400,m1705-C-3400,m1705-3400,0.28,3381.01,778.5,776.5,29,75,2.0,778.5,988,16634.0,m1705,P,3400,m1705-P-3400,0.28,3381.01,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,76.51000000000022,-123.0
m1705-C-3450,319.5,319.0,36,10,0.5,319.5,2516,46706.0,m1705,C,3450,m1705-C-3450,m1705-3450,0.28,3430.73,829.0,828.0,10,13,1.0,828.5,1696,26264.0,m1705,P,3450,m1705-P-3450,0.28,3430.73,2854.0,2853.0,22,3,1.0,2852.0,8580,300404.0,m1705,F,,m1705,,0.28,,58.23000000000002,-97.0
m1707-C-2450,497.5,441.5,77,53,56.0,497.5,1228,20768.0,m1707,C,2450,m1707-C-2450,m1707-2450,0.45,2428.05,95.5,17.5,4,2,78.0,97.0,150,20910.0,m1707,P,2450,m1707-P-2450,0.45,2428.05,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-267.9499999999998,-248.0
m1707-C-2500,465.0,382.0,4,11,83.0,382.0,202,15320.0,m1707,C,2500,m1707-C-2500,m1707-2500,0.45,2477.6,63.5,1.0,45,12,62.5,63.5,284,16092.0,m1707,P,2500,m1707-P-2500,0.45,2477.6,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-326.9000000000001,-363.0
m1707-C-2550,426.0,288.5,8,4,137.5,426.0,340,17184.0,m1707,C,2550,m1707-C-2550,m1707-2550,0.45,2527.15,101.5,54.5,9,3,47.0,101.0,320,528090.0,m1707,P,2550,m1707-P-2550,0.45,2527.15,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-572.3499999999999,-484.0
m1707-C-2600,396.0,245.0,1,1,151.0,395.5,376,20302.0,m1707,C,2600,m1707-C-2600,m1707-2600,0.45,2576.7,53.5,3.0,11,1,50.5,3.0,144,21980.0,m1707,P,2600,m1707-P-2600,0.45,2576.7,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-558.8000000000002,-596.0
m1707-C-2650,378.5,213.5,4,2,165.0,382.5,254,14332.0,m1707,C,2650,m1707-C-2650,m1707-2650,0.45,2626.26,62.5,1.0,12,1,61.5,1.5,366,13832.0,m1707,P,2650,m1707-P-2650,0.45,2626.26,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-591.7399999999998,-672.5
m1707-C-2700,,,,,,,,,m1707,C,2700,m1707-C-2700,m1707-2700,0.45,2675.81,87.5,13.5,10,12,74.0,87.0,260,20344.0,m1707,P,2700,m1707-P-2700,0.45,2675.81,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,,
m1707-C-2750,302.0,189.0,6,6,113.0,320.0,254,12696.0,m1707,C,2750,m1707-C-2750,m1707-2750,0.45,2725.36,182.5,17.0,4,8,165.5,182.0,198,12726.0,m1707,P,2750,m1707-P-2750,0.45,2725.36,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-481.1399999999999,-524.0
m1707-C-2800,286.0,113.0,2,18,173.0,110.5,262,15378.0,m1707,C,2800,m1707-C-2800,m1707-2800,0.45,2774.91,94.5,23.5,10,2,71.0,20.5,150,13086.0,m1707,P,2800,m1707-P-2800,0.45,2774.91,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-599.5900000000001,-731.5
m1707-C-2850,286.0,115.0,21,63,171.0,114.5,568,14128.0,m1707,C,2850,m1707-C-2850,m1707-2850,0.45,2824.47,105.5,49.0,6,6,56.5,105.0,140,12048.0,m1707,P,2850,m1707-P-2850,0.45,2824.47,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-553.0300000000002,-750.0
m1707-C-2900,154.0,34.0,46,2,120.0,153.5,422,15600.0,m1707,C,2900,m1707-C-2900,m1707-2900,0.45,2874.02,261.5,83.5,8,8,178.0,83.5,442,17084.0,m1707,P,2900,m1707-P-2900,0.45,2874.02,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-587.48,-480.5
m1707-C-2950,240.5,1.7976931348623157e+308,1,0,1.7976931348623157e+308,11.0,338,13382.0,m1707,C,2950,m1707-C-2950,m1707-2950,0.45,2923.57,289.0,101.0,2,10,188.0,291.5,232,10778.0,m1707,P,2950,m1707-P-2950,0.45,2923.57,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-inf,-inf
m1707-C-3000,123.0,14.0,11,1,109.0,123.5,122,18662.0,m1707,C,3000,m1707-C-3000,m1707-3000,0.45,2973.12,146.0,145.5,3,4,0.5,336.0,242,12590.0,m1707,P,3000,m1707-P-3000,0.45,2973.12,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-359.8800000000001,-454.5
m1707-C-3050,165.5,48.0,1,11,117.5,166.0,82,19650.0,m1707,C,3050,m1707-C-3050,m1707-3050,0.45,3022.67,272.0,170.0,1,4,102.0,272.5,404,14902.0,m1707,P,3050,m1707-P-3050,0.45,3022.67,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-427.8299999999999,-548.0
m1707-C-3100,184.5,42.0,1,15,142.5,42.5,244,8036.0,m1707,C,3100,m1707-C-3100,m1707-3100,0.45,3072.23,386.0,179.5,22,1,206.5,385.5,402,6066.0,m1707,P,3100,m1707-P-3100,0.45,3072.23,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-573.27,-682.5
m1707-C-3150,134.5,46.5,5,17,88.0,47.0,170,4564.0,m1707,C,3150,m1707-C-3150,m1707-3150,0.45,3121.78,1.7976931348623157e+308,273.5,0,43,1.7976931348623157e+308,271.5,170,5292.0,m1707,P,3150,m1707-P-3150,0.45,3121.78,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-1.7976931348623157e+308,-425.0
m1707-C-3200,166.0,33.5,5,7,132.5,33.5,206,3486.0,m1707,C,3200,m1707-C-3200,m1707-3200,0.45,3171.33,408.5,270.0,6,83,138.5,270.5,440,4054.0,m1707,P,3200,m1707-P-3200,0.45,3171.33,2867.0,2857.0,50,27,10.0,2865.0,2,58332.0,m1707,F,,m1707,,0.45,,-475.1700000000001,-643.5
m1708-C-2450,454.5,411.0,3,9,43.5,411.0,312,11470.0,m1708,C,2450,m1708-C-2450,m1708-2450,0.53,2424.17,32.5,9.0,3,9,23.5,31.5,102,13924.0,m1708,P,2450,m1708-P-2450,0.53,2424.17,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-198.82999999999993,-178.0
m1708-C-2500,433.0,331.0,44,80,102.0,432.5,328,12618.0,m1708,C,2500,m1708-C-2500,m1708-2500,0.53,2473.64,23.5,21.0,33,17,2.5,17.5,160,24752.0,m1708,P,2500,m1708-P-2500,0.53,2473.64,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-395.8600000000001,-370.0
m1708-C-2550,398.5,281.5,8,4,117.0,281.0,306,11716.0,m1708,C,2550,m1708-C-2550,m1708-2550,0.53,2523.11,65.5,1.0,12,50,64.5,2.0,146,14830.0,m1708,P,2550,m1708-P-2550,0.53,2523.11,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-482.8899999999999,-450.5
m1708-C-2600,346.5,227.5,3,4,119.0,216.0,270,26480.0,m1708,C,2600,m1708-C-2600,m1708-2600,0.53,2572.59,93.0,6.5,4,8,86.5,7.0,134,13556.0,m1708,P,2600,m1708-P-2600,0.53,2572.59,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-520.9099999999999,-449.0
m1708-C-2650,274.5,1.7976931348623157e+308,7,0,1.7976931348623157e+308,276.0,212,11728.0,m1708,C,2650,m1708-C-2650,m1708-2650,0.53,2622.06,129.0,100.0,1,12,29.0,128.5,90,10480.0,m1708,P,2650,m1708-P-2650,0.53,2622.06,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-inf,-inf
m1708-C-2700,239.0,200.0,13,26,39.0,199.5,504,12340.0,m1708,C,2700,m1708-C-2700,m1708-2700,0.53,2671.53,26.5,21.5,5,4,5.0,24.0,98,20890.0,m1708,P,2700,m1708-P-2700,0.53,2671.53,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-142.9699999999998,-186.5
m1708-C-2750,291.5,138.5,4,4,153.0,292.0,116,11642.0,m1708,C,2750,m1708-C-2750,m1708-2750,0.53,2721.0,118.0,3.0,2,10,115.0,117.5,84,12122.0,m1708,P,2750,m1708-P-2750,0.53,2721.0,2864.0,2855.0,6,50,9.0,2874.0,0,62556.0,m1708,F,,m1708,,0.53,,-588.5,-649.5
